Day of Death Dt,County,Number of Records
"December 2, 2021",*,2
"December 1, 2021",Saline County,1
"November 30, 2021",*,7
"November 29, 2021",*,7
"November 28, 2021",*,7
"November 27, 2021",*,5
"November 26, 2021",*,6
"November 25, 2021",*,5
"November 24, 2021",*,5
"November 23, 2021",*,3
"November 22, 2021",*,5
"November 21, 2021",*,3
"November 20, 2021",*,4
"November 19, 2021",*,11
"November 18, 2021",*,7
"November 17, 2021",*,4
"November 16, 2021",*,5
"November 15, 2021",*,5
"November 14, 2021",Finney County,1
"November 13, 2021",*,6
"November 12, 2021",*,4
"November 11, 2021",*,4
"November 10, 2021",*,4
"November 9, 2021",*,5
"November 8, 2021",*,5
"November 7, 2021",*,8
"November 6, 2021",*,6
"November 5, 2021",*,4
"November 4, 2021",*,8
"November 3, 2021",*,9
"November 2, 2021",*,14
"November 1, 2021",*,8
"October 31, 2021",*,9
"October 30, 2021",*,8
"October 29, 2021",*,10
"October 28, 2021",*,12
"October 27, 2021",*,8
"October 26, 2021",*,7
"October 25, 2021",*,8
"October 24, 2021",*,13
"October 23, 2021",*,10
"October 22, 2021",*,18
"October 21, 2021",*,15
"October 20, 2021",*,11
"October 19, 2021",*,8
"October 18, 2021",*,12
"October 17, 2021",*,9
"October 16, 2021",*,6
"October 15, 2021",*,10
"October 14, 2021",*,15
"October 13, 2021",*,11
"October 12, 2021",*,10
"October 11, 2021",*,9
"October 10, 2021",*,12
"October 9, 2021",*,9
"October 8, 2021",*,12
"October 7, 2021",*,11
"October 6, 2021",*,10
"October 5, 2021",*,6
"October 4, 2021",*,7
"October 3, 2021",*,14
"October 2, 2021",*,9
"October 1, 2021",*,13
"September 30, 2021",*,17
"September 29, 2021",*,13
"September 28, 2021",*,9
"September 27, 2021",*,17
"September 26, 2021",*,18
"September 25, 2021",*,18
"September 24, 2021",*,26
"September 23, 2021",*,20
"September 22, 2021",*,18
"September 21, 2021",*,22
"September 20, 2021",*,9
"September 19, 2021",*,16
"September 18, 2021",*,15
"September 17, 2021",*,15
"September 16, 2021",*,15
"September 15, 2021",*,14
"September 14, 2021",*,19
"September 13, 2021",*,17
"September 12, 2021",*,16
"September 11, 2021",*,14
"September 10, 2021",*,16
"September 9, 2021",*,16
"September 8, 2021",*,12
"September 7, 2021",*,18
"September 6, 2021",*,17
"September 5, 2021",*,26
"September 4, 2021",*,22
"September 3, 2021",*,19
"September 2, 2021",*,14
"September 1, 2021",*,19
"August 31, 2021",*,19
"August 30, 2021",*,13
"August 29, 2021",*,11
"August 28, 2021",*,12
"August 27, 2021",*,15
"August 26, 2021",*,14
"August 25, 2021",*,9
"August 24, 2021",*,20
"August 23, 2021",*,16
"August 22, 2021",*,23
"August 21, 2021",*,15
"August 20, 2021",*,10
"August 19, 2021",*,19
"August 18, 2021",*,8
"August 17, 2021",*,9
"August 16, 2021",*,12
"August 15, 2021",*,8
"August 14, 2021",*,14
"August 13, 2021",*,9
"August 12, 2021",*,10
"August 11, 2021",*,10
"August 10, 2021",*,15
"August 9, 2021",*,14
"August 8, 2021",*,11
"August 7, 2021",*,12
"August 6, 2021",*,13
"August 5, 2021",*,19
"August 4, 2021",*,14
"August 3, 2021",*,13
"August 2, 2021",*,13
"August 1, 2021",*,10
"July 31, 2021",*,3
"July 30, 2021",*,5
"July 29, 2021",*,13
"July 28, 2021",*,5
"July 27, 2021",*,8
"July 26, 2021",*,7
"July 25, 2021",*,3
"July 24, 2021",*,7
"July 23, 2021",*,5
"July 22, 2021",*,5
"July 21, 2021",*,9
"July 20, 2021",Crawford County,1
