Day of Collection Date,Count of Hospital Name,total_adult_patients_hospitalize
"December 2, 2021",99,514
"December 1, 2021",132,619
"November 30, 2021",135,616
"November 29, 2021",139,531
"November 28, 2021",140,518
"November 27, 2021",142,542
"November 26, 2021",143,520
"November 25, 2021",143,508
"November 24, 2021",150,539
"November 23, 2021",146,509
"November 22, 2021",145,509
"November 21, 2021",145,535
"November 20, 2021",145,496
"November 19, 2021",145,496
"November 18, 2021",145,489
"November 17, 2021",151,469
"November 16, 2021",145,482
"November 15, 2021",145,444
"November 14, 2021",144,435
"November 13, 2021",144,439
"November 12, 2021",145,446
"November 11, 2021",144,448
"November 10, 2021",151,440
"November 9, 2021",145,432
"November 8, 2021",144,425
"November 7, 2021",144,405
"November 6, 2021",145,412
"November 5, 2021",145,427
"November 4, 2021",145,422
"November 3, 2021",150,422
"November 2, 2021",145,444
"November 1, 2021",145,448
"October 31, 2021",145,442
"October 30, 2021",145,443
"October 29, 2021",145,444
"October 28, 2021",145,481
"October 27, 2021",149,484
"October 26, 2021",145,491
"October 25, 2021",145,482
"October 24, 2021",145,444
"October 23, 2021",145,430
"October 22, 2021",145,441
"October 21, 2021",144,434
"October 20, 2021",151,461
"October 19, 2021",142,490
"October 18, 2021",145,476
"October 17, 2021",142,464
"October 16, 2021",144,473
"October 15, 2021",145,498
"October 14, 2021",145,497
"October 13, 2021",151,506
"October 12, 2021",144,515
"October 11, 2021",145,521
"October 10, 2021",145,519
"October 9, 2021",145,512
"October 8, 2021",145,522
"October 7, 2021",145,522
"October 6, 2021",150,551
"October 5, 2021",145,585
"October 4, 2021",145,565
"October 3, 2021",145,551
"October 2, 2021",145,570
"October 1, 2021",145,589
"September 30, 2021",142,603
"September 29, 2021",151,612
"September 28, 2021",145,620
"September 27, 2021",145,630
"September 26, 2021",145,619
"September 25, 2021",145,611
"September 24, 2021",145,634
"September 23, 2021",145,666
"September 22, 2021",151,688
"September 21, 2021",145,663
"September 20, 2021",145,660
"September 19, 2021",145,641
"September 18, 2021",145,669
"September 17, 2021",145,670
"September 16, 2021",145,694
"September 15, 2021",151,702
"September 14, 2021",142,720
"September 13, 2021",145,708
"September 12, 2021",145,702
"September 11, 2021",145,705
