Report Date,Variant,Greek Letter Name,Health District,Region Name,Number of Infections,Number of Hospitalizations,Number of Deaths
06/18/2021,B.1.1.7,Alpha,Alexandria,Northern,39,1,0
06/18/2021,B.1.1.7,Alpha,Alleghany,Southwest,72,6,2
06/18/2021,B.1.1.7,Alpha,Arlington,Northern,67,3,0
06/18/2021,B.1.1.7,Alpha,Blue Ridge,Northwest,64,2,1
06/18/2021,B.1.1.7,Alpha,Central Shenandoah,Northwest,36,0,0
06/18/2021,B.1.1.7,Alpha,Central Virginia,Southwest,99,7,3
06/18/2021,B.1.1.7,Alpha,Chesapeake,Eastern,70,2,2
06/18/2021,B.1.1.7,Alpha,Chesterfield,Central,119,5,1
06/18/2021,B.1.1.7,Alpha,Chickahominy,Central,64,0,1
06/18/2021,B.1.1.7,Alpha,Crater,Central,74,6,1
06/18/2021,B.1.1.7,Alpha,Cumberland Plateau,Southwest,18,2,0
06/18/2021,B.1.1.7,Alpha,Eastern Shore,Eastern,13,1,0
06/18/2021,B.1.1.7,Alpha,Fairfax,Northern,224,7,1
06/18/2021,B.1.1.7,Alpha,Hampton,Eastern,29,0,0
06/18/2021,B.1.1.7,Alpha,Henrico,Central,102,4,2
06/18/2021,B.1.1.7,Alpha,Lenowisco,Southwest,17,1,0
06/18/2021,B.1.1.7,Alpha,Lord Fairfax,Northwest,60,2,0
06/18/2021,B.1.1.7,Alpha,Loudoun,Northern,98,2,1
06/18/2021,B.1.1.7,Alpha,Mount Rogers,Southwest,218,16,2
06/18/2021,B.1.1.7,Alpha,New River,Southwest,75,4,0
06/18/2021,B.1.1.7,Alpha,Norfolk,Eastern,40,3,2
06/18/2021,B.1.1.7,Alpha,Peninsula,Eastern,76,3,1
06/18/2021,B.1.1.7,Alpha,Piedmont,Central,48,3,0
06/18/2021,B.1.1.7,Alpha,Pittsylvania-Danville,Southwest,15,1,1
06/18/2021,B.1.1.7,Alpha,Portsmouth,Eastern,42,2,0
06/18/2021,B.1.1.7,Alpha,Prince William,Northern,92,1,0
06/18/2021,B.1.1.7,Alpha,Rappahannock,Northwest,88,3,2
06/18/2021,B.1.1.7,Alpha,Rappahannock Rapidan,Northwest,42,4,0
06/18/2021,B.1.1.7,Alpha,Richmond,Central,58,2,0
06/18/2021,B.1.1.7,Alpha,Roanoke,Southwest,32,6,1
06/18/2021,B.1.1.7,Alpha,Southside,Central,9,0,0
06/18/2021,B.1.1.7,Alpha,Three Rivers,Eastern,25,1,0
06/18/2021,B.1.1.7,Alpha,Virginia Beach,Eastern,64,1,1
06/18/2021,B.1.1.7,Alpha,West Piedmont,Southwest,42,12,0
06/18/2021,B.1.1.7,Alpha,Western Tidewater,Eastern,47,2,0
06/18/2021,B.1.351,Beta,Alexandria,Northern,0,0,0
06/18/2021,B.1.351,Beta,Alleghany,Southwest,0,0,0
06/18/2021,B.1.351,Beta,Arlington,Northern,0,0,0
06/18/2021,B.1.351,Beta,Blue Ridge,Northwest,0,0,0
06/18/2021,B.1.351,Beta,Central Shenandoah,Northwest,0,0,0
06/18/2021,B.1.351,Beta,Central Virginia,Southwest,2,0,0
06/18/2021,B.1.351,Beta,Chesapeake,Eastern,17,2,2
06/18/2021,B.1.351,Beta,Chesterfield,Central,3,0,0
06/18/2021,B.1.351,Beta,Chickahominy,Central,2,0,0
06/18/2021,B.1.351,Beta,Crater,Central,4,1,0
06/18/2021,B.1.351,Beta,Cumberland Plateau,Southwest,0,0,0
06/18/2021,B.1.351,Beta,Eastern Shore,Eastern,2,0,0
06/18/2021,B.1.351,Beta,Fairfax,Northern,6,0,0
06/18/2021,B.1.351,Beta,Hampton,Eastern,8,2,0
06/18/2021,B.1.351,Beta,Henrico,Central,2,0,0
06/18/2021,B.1.351,Beta,Lenowisco,Southwest,2,1,1
06/18/2021,B.1.351,Beta,Lord Fairfax,Northwest,1,0,0
06/18/2021,B.1.351,Beta,Loudoun,Northern,3,0,0
06/18/2021,B.1.351,Beta,Mount Rogers,Southwest,1,0,0
06/18/2021,B.1.351,Beta,New River,Southwest,0,0,0
